x,age,workclass,education,educational-num,marital-status,race,gender,hours-per-week,income
72,46,Private,Assoc-voc,11,Married-civ-spouse,White,Male,40,<=50K
73,30,Private,HS-grad,9,Married-civ-spouse,White,Male,40,<=50K
74,21,Private,Some-college,10,Separated,White,Female,40,<=50K
75,46,Private,Some-college,10,Married-civ-spouse,Other,Male,40,<=50K
76,17,?,10th,6,Never-married,White,Male,40,<=50K
77,41,Private,HS-grad,9,Married-civ-spouse,White,Male,50,<=50K
78,69,Self-emp-inc,HS-grad,9,Married-civ-spouse,White,Male,30,<=50K
79,50,Private,HS-grad,9,Married-civ-spouse,White,Male,40,<=50K
80,20,Private,Some-college,10,Never-married,White,Female,40,<=50K
81,45,Self-emp-inc,Some-college,10,Married-civ-spouse,White,Male,50,<=50K
82,23,Private,Bachelors,13,Never-married,White,Male,40,<=50K
83,24,Private,Some-college,10,Separated,White,Male,40,<=50K
84,44,Self-emp-inc,HS-grad,9,Married-civ-spouse,White,Male,50,>50K
85,31,Self-emp-not-inc,Some-college,10,Married-civ-spouse,White,Male,50,<=50K
86,43,Private,HS-grad,9,Separated,White,Female,44,<=50K
87,20,Federal-gov,11th,7,Never-married,White,Female,10,<=50K
88,55,Private,HS-grad,9,Married-civ-spouse,White,Male,56,>50K
89,24,Federal-gov,Some-college,10,Never-married,White,Male,40,<=50K
90,41,?,Masters,14,Married-civ-spouse,White,Female,10,>50K
91,59,Private,Bachelors,13,Never-married,White,Female,25,<=50K
92,49,Federal-gov,7th-8th,4,Never-married,Black,Male,20,<=50K
93,33,Private,Masters,14,Married-civ-spouse,White,Female,10,>50K
94,59,Federal-gov,Bachelors,13,Divorced,White,Male,40,<=50K
95,34,Private,Masters,14,Never-married,Amer-Indian-Eskimo,Male,40,<=50K
96,20,Private,HS-grad,9,Never-married,White,Male,40,<=50K
97,25,Private,Bachelors,13,Never-married,White,Female,40,<=50K
98,49,Private,10th,6,Married-civ-spouse,White,Male,40,<=50K
99,59,Private,HS-grad,9,Married-civ-spouse,White,Male,40,>50K
100,20,Private,HS-grad,9,Never-married,White,Female,40,<=50K
101,51,?,Some-college,10,Married-civ-spouse,White,Female,18,<=50K
102,33,Private,Some-college,10,Never-married,Black,Female,35,<=50K
103,22,Private,Some-college,10,Never-married,Black,Male,39,<=50K
104,58,Self-emp-not-inc,9th,5,Widowed,White,Female,40,<=50K
105,52,Local-gov,HS-grad,9,Widowed,White,Female,28,<=50K
106,36,Private,10th,6,Separated,White,Female,40,<=50K
107,41,Local-gov,HS-grad,9,Married-civ-spouse,White,Male,40,<=50K
108,28,Private,HS-grad,9,Never-married,White,Male,40,<=50K
109,19,Private,Some-college,10,Never-married,Black,Male,16,<=50K
110,18,Private,HS-grad,9,Never-married,White,Female,28,<=50K
111,18,Private,HS-grad,9,Never-married,White,Female,48,<=50K
112,28,Private,Some-college,10,Married-civ-spouse,White,Male,40,<=50K
113,29,Private,Assoc-voc,11,Married-civ-spouse,White,Male,40,>50K
114,20,?,HS-grad,9,Never-married,White,Female,20,<=50K
115,40,Private,Some-college,10,Married-civ-spouse,White,Male,40,<=50K
116,26,Private,HS-grad,9,Never-married,White,Male,40,<=50K
117,46,Private,HS-grad,9,Married-civ-spouse,White,Male,40,<=50K
118,23,Private,11th,7,Never-married,White,Female,24,<=50K
119,44,Private,HS-grad,9,Married-spouse-absent,White,Female,40,<=50K
120,43,Private,Bachelors,13,Divorced,White,Female,40,>50K
121,31,Local-gov,Bachelors,13,Divorced,White,Female,60,<=50K
122,18,Private,Some-college,10,Never-married,White,Female,25,<=50K
123,19,Private,Some-college,10,Never-married,White,Male,30,<=50K
124,41,Private,Some-college,10,Divorced,White,Female,40,<=50K
125,41,Private,HS-grad,9,Divorced,White,Female,40,<=50K
126,69,Private,HS-grad,9,Divorced,White,Female,25,<=50K
127,48,Federal-gov,Doctorate,16,Married-civ-spouse,White,Female,40,>50K
128,28,Private,HS-grad,9,Never-married,White,Male,40,<=50K
129,27,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,White,Male,60,>50K
130,41,Private,Masters,14,Married-civ-spouse,White,Male,50,>50K
131,41,Private,Some-college,10,Married-civ-spouse,White,Male,40,<=50K
132,24,Private,HS-grad,9,Never-married,Black,Female,40,<=50K
133,20,?,HS-grad,9,Never-married,White,Female,40,<=50K
134,42,Self-emp-inc,Doctorate,16,Married-civ-spouse,White,Male,41,>50K
135,57,Private,HS-grad,9,Married-civ-spouse,Black,Male,48,<=50K
136,30,Private,Assoc-acdm,12,Never-married,White,Female,40,<=50K
137,36,Private,HS-grad,9,Married-civ-spouse,White,Male,60,>50K
138,49,Private,7th-8th,4,Married-civ-spouse,Black,Male,40,<=50K
139,33,Private,HS-grad,9,Married-civ-spouse,White,Female,35,<=50K
140,23,Private,10th,6,Married-civ-spouse,White,Male,40,<=50K
141,46,Private,Masters,14,Married-civ-spouse,White,Male,40,<=50K
142,18,Private,Some-college,10,Never-married,Asian-Pac-Islander,Female,22,<=50K
143,40,Private,HS-grad,9,Married-civ-spouse,White,Male,55,>50K
144,43,Self-emp-inc,HS-grad,9,Married-civ-spouse,White,Male,45,>50K
145,34,Private,Masters,14,Never-married,White,Female,30,<=50K
146,47,Self-emp-not-inc,HS-grad,9,Widowed,White,Female,30,<=50K
147,44,Private,Assoc-voc,11,Widowed,White,Female,30,<=50K
148,33,Private,HS-grad,9,Married-civ-spouse,White,Male,40,>50K
149,55,Private,Bachelors,13,Married-civ-spouse,White,Male,50,>50K
150,19,Private,HS-grad,9,Never-married,White,Male,30,<=50K
151,28,Private,Some-college,10,Never-married,Black,Male,14,<=50K
152,27,Private,11th,7,Married-civ-spouse,Black,Female,32,<=50K
153,50,Private,7th-8th,4,Married-civ-spouse,White,Male,20,<=50K
154,22,Private,11th,7,Never-married,White,Male,40,<=50K
155,40,State-gov,Bachelors,13,Married-civ-spouse,White,Male,45,>50K
156,25,Private,Some-college,10,Never-married,White,Female,40,<=50K
157,26,Local-gov,HS-grad,9,Never-married,White,Male,40,<=50K
158,22,Private,Bachelors,13,Never-married,White,Male,25,<=50K
159,42,Private,Some-college,10,Never-married,Black,Female,40,<=50K
160,38,Self-emp-inc,Bachelors,13,Divorced,White,Male,40,<=50K
161,55,Private,11th,7,Married-civ-spouse,White,Male,30,<=50K
162,32,Private,HS-grad,9,Married-civ-spouse,White,Male,40,<=50K
163,22,Private,HS-grad,9,Married-civ-spouse,White,Male,45,<=50K
164,29,Private,Bachelors,13,Never-married,White,Male,40,<=50K
165,46,State-gov,Masters,14,Married-civ-spouse,White,Male,45,>50K
166,31,Private,Some-college,10,Married-civ-spouse,White,Male,40,>50K
167,58,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,White,Male,16,>50K
168,42,Private,HS-grad,9,Married-civ-spouse,White,Male,45,<=50K
169,18,Private,HS-grad,9,Never-married,White,Male,25,<=50K
170,58,Local-gov,HS-grad,9,Divorced,White,Male,33,<=50K
171,54,Private,HS-grad,9,Married-civ-spouse,White,Male,40,>50K
172,34,Private,Masters,14,Never-married,White,Male,40,<=50K
173,26,Private,Bachelors,13,Never-married,White,Female,40,<=50K
174,61,Private,12th,8,Married-civ-spouse,White,Male,60,<=50K
175,48,Local-gov,Masters,14,Separated,Black,Female,40,<=50K
176,36,Private,Some-college,10,Married-civ-spouse,White,Male,45,>50K
177,24,Private,Assoc-voc,11,Married-civ-spouse,White,Male,45,<=50K
178,40,Private,Some-college,10,Married-civ-spouse,White,Male,37,<=50K
179,33,Self-emp-inc,HS-grad,9,Married-civ-spouse,White,Male,50,>50K
180,37,Private,Some-college,10,Married-civ-spouse,White,Male,40,>50K
181,34,Private,Masters,14,Never-married,White,Male,40,<=50K
182,56,Self-emp-inc,Some-college,10,Married-civ-spouse,White,Male,40,>50K
183,28,?,HS-grad,9,Married-civ-spouse,White,Female,38,>50K
184,37,Private,Bachelors,13,Widowed,White,Female,55,<=50K
185,44,Private,HS-grad,9,Divorced,Black,Female,40,<=50K
186,64,?,Some-college,10,Married-civ-spouse,White,Male,8,<=50K
187,54,Private,HS-grad,9,Divorced,White,Male,45,<=50K
188,23,Private,HS-grad,9,Never-married,White,Male,50,<=50K
189,34,State-gov,Bachelors,13,Married-spouse-absent,Black,Male,40,<=50K
190,22,Private,HS-grad,9,Never-married,White,Female,45,<=50K
191,33,Private,Bachelors,13,Married-civ-spouse,White,Male,40,>50K
192,39,Private,Bachelors,13,Separated,White,Male,50,>50K
193,47,Private,Some-college,10,Divorced,Black,Female,37,<=50K
194,79,?,7th-8th,4,Widowed,White,Male,40,<=50K
195,26,Private,HS-grad,9,Never-married,Black,Female,55,<=50K
196,31,Private,Some-college,10,Divorced,White,Female,40,<=50K
197,44,Private,Some-college,10,Never-married,White,Male,45,<=50K
198,42,Self-emp-inc,Prof-school,15,Married-civ-spouse,White,Female,50,>50K
199,19,Private,HS-grad,9,Never-married,White,Female,40,<=50K
200,27,Private,HS-grad,9,Married-civ-spouse,White,Male,40,>50K
201,51,Local-gov,Some-college,10,Married-civ-spouse,White,Male,40,>50K
202,28,Self-emp-inc,Bachelors,13,Married-civ-spouse,White,Male,50,<=50K
203,57,Private,Bachelors,13,Divorced,White,Male,45,<=50K
204,45,Local-gov,Bachelors,13,Divorced,White,Female,40,<=50K
205,50,Private,Assoc-voc,11,Married-civ-spouse,White,Male,40,>50K
206,34,Self-emp-inc,Bachelors,13,Married-civ-spouse,White,Male,54,<=50K
207,45,Private,7th-8th,4,Married-civ-spouse,Black,Male,40,<=50K
208,73,Local-gov,HS-grad,9,Married-civ-spouse,White,Male,20,<=50K
209,34,Private,Bachelors,13,Married-civ-spouse,White,Female,50,>50K
210,31,Private,Some-college,10,Married-civ-spouse,White,Male,55,>50K
211,19,Private,11th,7,Never-married,White,Male,12,<=50K
212,25,Private,Some-college,10,Never-married,White,Female,50,<=50K
213,38,Federal-gov,Assoc-voc,11,Divorced,White,Female,40,<=50K
214,39,Private,Bachelors,13,Married-civ-spouse,White,Male,40,<=50K
215,23,Private,Bachelors,13,Never-married,Black,Female,32,<=50K
216,49,Private,HS-grad,9,Married-civ-spouse,White,Male,40,<=50K
217,33,Federal-gov,HS-grad,9,Never-married,White,Male,32,<=50K
218,21,Private,5th-6th,3,Never-married,White,Male,38,<=50K
219,31,Private,Assoc-voc,11,Separated,White,Male,40,<=50K
220,23,Private,Bachelors,13,Never-married,White,Female,45,<=50K
221,34,Private,Bachelors,13,Married-civ-spouse,Asian-Pac-Islander,Male,40,<=50K
222,25,Private,HS-grad,9,Never-married,Asian-Pac-Islander,Female,40,<=50K
223,39,Private,HS-grad,9,Never-married,White,Male,40,<=50K
224,52,Self-emp-inc,HS-grad,9,Married-civ-spouse,White,Male,40,>50K
225,63,Local-gov,9th,5,Married-civ-spouse,White,Male,40,>50K
226,41,Private,Some-college,10,Married-civ-spouse,White,Male,40,<=50K
227,46,Private,Bachelors,13,Married-civ-spouse,White,Male,38,>50K
228,53,Local-gov,HS-grad,9,Married-civ-spouse,White,Male,40,<=50K
229,25,?,9th,5,Separated,White,Female,40,<=50K
230,77,?,Some-college,10,Married-civ-spouse,White,Male,35,<=50K
231,18,Private,12th,8,Never-married,White,Male,40,<=50K
232,38,Private,Prof-school,15,Married-civ-spouse,White,Male,50,<=50K
233,55,Private,Masters,14,Never-married,Asian-Pac-Islander,Female,50,<=50K
234,34,Private,HS-grad,9,Married-civ-spouse,White,Male,40,>50K
235,80,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,White,Male,30,<=50K
236,34,Private,Assoc-voc,11,Divorced,White,Female,60,<=50K
237,52,Private,Some-college,10,Married-civ-spouse,White,Male,40,<=50K
238,42,Private,HS-grad,9,Never-married,Black,Female,28,<=50K
239,26,Private,Some-college,10,Never-married,White,Female,40,<=50K
240,31,Private,HS-grad,9,Married-civ-spouse,White,Male,40,<=50K
241,25,Local-gov,HS-grad,9,Never-married,White,Female,35,<=50K
242,55,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,White,Male,60,<=50K
243,19,Private,Some-college,10,Never-married,White,Female,12,<=50K
244,62,Self-emp-not-inc,Some-college,10,Married-civ-spouse,White,Male,32,<=50K
245,22,Federal-gov,Some-college,10,Never-married,White,Female,20,<=50K
246,39,?,HS-grad,9,Married-civ-spouse,White,Female,50,<=50K
247,35,Private,HS-grad,9,Married-civ-spouse,White,Male,40,<=50K
248,28,Private,HS-grad,9,Married-civ-spouse,White,Female,40,<=50K
249,47,Private,HS-grad,9,Married-civ-spouse,White,Male,70,>50K
250,44,State-gov,HS-grad,9,Married-civ-spouse,White,Male,40,<=50K
251,21,Private,Some-college,10,Never-married,White,Male,15,<=50K
252,35,Private,Assoc-voc,11,Never-married,White,Male,50,<=50K
253,24,Private,Bachelors,13,Married-civ-spouse,White,Male,40,>50K
254,42,Federal-gov,Bachelors,13,Never-married,White,Male,40,<=50K
255,28,Private,Bachelors,13,Never-married,White,Male,50,<=50K
256,21,Private,Some-college,10,Never-married,White,Male,35,<=50K
257,62,Federal-gov,Some-college,10,Divorced,Black,Male,40,<=50K
258,39,Private,HS-grad,9,Never-married,Black,Female,40,<=50K
259,30,State-gov,HS-grad,9,Never-married,White,Male,40,<=50K
260,72,Self-emp-not-inc,Prof-school,15,Never-married,White,Male,20,<=50K
261,50,Private,Some-college,10,Married-civ-spouse,White,Female,50,<=50K
262,28,Local-gov,Masters,14,Never-married,White,Male,40,<=50K
263,29,Private,Some-college,10,Never-married,White,Female,40,<=50K
264,26,Private,Bachelors,13,Never-married,White,Female,40,<=50K
265,27,Private,Masters,14,Never-married,White,Female,40,<=50K
266,29,Private,Some-college,10,Married-civ-spouse,White,Male,40,>50K
267,61,?,HS-grad,9,Married-civ-spouse,White,Male,40,<=50K
268,29,Private,10th,6,Married-civ-spouse,White,Male,25,<=50K
269,21,?,Some-college,10,Never-married,White,Female,30,<=50K
270,31,Private,11th,7,Married-civ-spouse,White,Female,20,<=50K
271,25,Private,HS-grad,9,Married-civ-spouse,White,Male,75,<=50K
272,58,Private,10th,6,Married-civ-spouse,White,Male,40,>50K
273,64,Private,Some-college,10,Married-civ-spouse,White,Female,40,>50K
274,46,State-gov,Masters,14,Never-married,White,Male,38,<=50K
275,53,?,HS-grad,9,Married-civ-spouse,White,Male,35,>50K
276,19,Private,HS-grad,9,Never-married,Amer-Indian-Eskimo,Female,35,<=50K
277,42,Private,HS-grad,9,Divorced,Black,Male,52,<=50K
278,18,Private,11th,7,Never-married,White,Male,24,<=50K
279,58,Self-emp-inc,Bachelors,13,Married-civ-spouse,White,Male,50,>50K
280,20,Private,Some-college,10,Never-married,Black,Male,60,<=50K
281,35,Federal-gov,HS-grad,9,Married-civ-spouse,White,Male,40,>50K
282,32,Private,HS-grad,9,Married-civ-spouse,White,Male,38,>50K
283,23,Private,HS-grad,9,Never-married,White,Female,25,<=50K
284,31,Private,Some-college,10,Divorced,White,Female,40,<=50K
285,33,Private,Bachelors,13,Married-civ-spouse,Black,Male,55,<=50K
286,41,Private,Some-college,10,Never-married,White,Female,48,<=50K
287,22,Private,HS-grad,9,Never-married,Black,Male,40,<=50K
288,46,Private,Some-college,10,Married-civ-spouse,White,Male,40,>50K
289,61,Federal-gov,Some-college,10,Married-civ-spouse,Black,Male,40,<=50K
290,30,Private,HS-grad,9,Never-married,Black,Male,40,<=50K
291,42,Private,HS-grad,9,Married-civ-spouse,White,Male,55,>50K
292,63,Private,10th,6,Married-civ-spouse,White,Male,40,<=50K
293,26,Private,Some-college,10,Married-civ-spouse,White,Male,40,<=50K
294,42,Private,10th,6,Divorced,White,Female,40,<=50K
295,23,Private,Some-college,10,Married-civ-spouse,White,Male,40,<=50K
296,25,Private,HS-grad,9,Never-married,White,Male,40,<=50K
297,30,Private,9th,5,Married-civ-spouse,White,Male,32,>50K
298,23,Private,HS-grad,9,Never-married,White,Male,40,<=50K
299,34,Self-emp-not-inc,Assoc-voc,11,Never-married,White,Male,60,>50K
300,30,Private,HS-grad,9,Married-civ-spouse,White,Male,48,<=50K
301,39,Private,Some-college,10,Married-civ-spouse,White,Male,40,>50K
302,30,Private,11th,7,Never-married,White,Male,38,<=50K
303,38,Local-gov,Some-college,10,Divorced,White,Female,38,<=50K
304,26,Private,HS-grad,9,Divorced,White,Female,40,<=50K
305,20,Private,Some-college,10,Never-married,White,Male,16,<=50K
306,37,Local-gov,Bachelors,13,Never-married,Black,Male,40,<=50K
307,33,Private,HS-grad,9,Married-civ-spouse,White,Female,40,<=50K
308,24,Private,Bachelors,13,Never-married,White,Male,40,<=50K
309,42,Self-emp-inc,Bachelors,13,Married-civ-spouse,White,Male,60,>50K
310,51,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Asian-Pac-Islander,Male,84,<=50K
311,56,Local-gov,Assoc-acdm,12,Married-civ-spouse,White,Male,45,>50K
312,22,Private,Some-college,10,Never-married,White,Male,40,<=50K
313,52,Self-emp-not-inc,Some-college,10,Married-civ-spouse,White,Male,60,<=50K
314,44,Private,Bachelors,13,Divorced,White,Female,45,>50K
315,34,Private,HS-grad,9,Married-civ-spouse,White,Female,35,<=50K
316,51,Private,Some-college,10,Divorced,White,Male,42,>50K
317,20,?,Some-college,10,Never-married,White,Male,40,<=50K
318,19,Private,Some-college,10,Never-married,White,Female,25,<=50K
319,37,Private,Bachelors,13,Married-civ-spouse,White,Male,40,>50K
320,68,Private,HS-grad,9,Married-civ-spouse,Black,Male,40,>50K
321,22,Private,Some-college,10,Divorced,White,Male,40,<=50K
322,56,Self-emp-inc,Bachelors,13,Married-civ-spouse,White,Male,40,<=50K
323,37,Private,HS-grad,9,Married-civ-spouse,White,Male,40,<=50K
324,52,Private,1st-4th,2,Married-civ-spouse,White,Male,40,<=50K
325,26,Private,HS-grad,9,Separated,White,Male,40,<=50K
326,33,Private,Masters,14,Married-civ-spouse,White,Male,50,<=50K
327,45,Local-gov,Masters,14,Divorced,White,Female,42,<=50K
328,18,Private,11th,7,Never-married,White,Male,15,<=50K
329,43,Self-emp-not-inc,Some-college,10,Married-civ-spouse,White,Male,60,>50K
330,64,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,White,Male,50,>50K
331,18,Private,HS-grad,9,Never-married,White,Male,20,<=50K
332,20,?,Some-college,10,Never-married,White,Male,45,<=50K
333,57,Private,HS-grad,9,Married-civ-spouse,White,Male,40,>50K
334,41,Private,HS-grad,9,Divorced,White,Female,42,<=50K
335,34,Private,Masters,14,Married-civ-spouse,White,Male,50,>50K
336,19,Private,HS-grad,9,Never-married,White,Female,40,<=50K
337,44,Private,9th,5,Divorced,White,Female,55,<=50K
338,56,Private,10th,6,Widowed,White,Female,40,<=50K
339,36,Self-emp-inc,HS-grad,9,Married-civ-spouse,White,Male,80,<=50K
340,48,Private,Bachelors,13,Divorced,White,Female,48,<=50K
341,29,Private,HS-grad,9,Married-civ-spouse,White,Male,40,>50K
342,33,Private,Bachelors,13,Never-married,White,Male,40,<=50K
343,31,Private,5th-6th,3,Married-civ-spouse,White,Male,40,<=50K
344,39,Private,Masters,14,Married-civ-spouse,White,Male,45,>50K
345,66,Private,HS-grad,9,Married-civ-spouse,White,Male,40,>50K
346,27,Private,Bachelors,13,Never-married,White,Female,50,>50K
347,39,Private,HS-grad,9,Divorced,Black,Female,40,>50K
348,59,Private,7th-8th,4,Married-civ-spouse,White,Male,50,>50K
349,26,Private,HS-grad,9,Never-married,White,Female,40,<=50K
350,31,Private,Assoc-voc,11,Divorced,White,Male,40,<=50K
351,45,?,HS-grad,9,Widowed,White,Female,40,<=50K
352,23,Private,HS-grad,9,Never-married,White,Male,30,<=50K
353,36,Local-gov,HS-grad,9,Divorced,White,Female,40,<=50K
354,34,Private,Some-college,10,Married-civ-spouse,White,Female,12,>50K
355,32,Private,HS-grad,9,Married-civ-spouse,White,Male,84,>50K
356,37,Private,Bachelors,13,Married-civ-spouse,Black,Male,50,>50K
357,33,Private,Bachelors,13,Never-married,White,Male,45,<=50K
358,50,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,White,Male,80,>50K
359,32,Federal-gov,Assoc-acdm,12,Never-married,Black,Male,40,<=50K
360,35,Private,Bachelors,13,Never-married,Black,Female,40,<=50K
361,37,Private,11th,7,Married-civ-spouse,White,Male,40,<=50K
362,44,Private,Some-college,10,Divorced,White,Male,60,<=50K
363,57,Private,Some-college,10,Divorced,White,Male,25,<=50K
364,29,Local-gov,Some-college,10,Married-civ-spouse,White,Female,40,<=50K
365,55,Private,HS-grad,9,Married-civ-spouse,White,Male,50,>50K
366,43,Self-emp-inc,Prof-school,15,Married-civ-spouse,White,Male,25,>50K
367,43,Private,Some-college,10,Married-civ-spouse,White,Male,70,<=50K
368,45,Self-emp-not-inc,Some-college,10,Married-civ-spouse,White,Male,60,>50K
369,33,Self-emp-not-inc,Masters,14,Married-civ-spouse,White,Female,8,<=50K
370,26,Private,10th,6,Divorced,White,Female,40,<=50K
371,23,Private,Some-college,10,Married-civ-spouse,White,Male,68,<=50K
372,41,Private,7th-8th,4,Separated,White,Male,40,<=50K
373,24,Private,HS-grad,9,Married-civ-spouse,White,Male,40,<=50K
374,47,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,White,Male,44,<=50K
375,34,Self-emp-not-inc,HS-grad,9,Never-married,White,Male,45,<=50K
376,40,Private,HS-grad,9,Married-civ-spouse,White,Male,40,>50K
377,28,Private,Bachelors,13,Married-civ-spouse,Asian-Pac-Islander,Female,40,<=50K
378,24,Private,HS-grad,9,Never-married,Asian-Pac-Islander,Female,40,<=50K
379,73,?,Some-college,10,Married-civ-spouse,White,Male,10,<=50K
380,23,Private,HS-grad,9,Never-married,White,Male,15,<=50K
381,43,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Black,Male,40,>50K
382,26,Private,Bachelors,13,Divorced,White,Female,40,<=50K
383,58,Self-emp-not-inc,Doctorate,16,Married-AF-spouse,White,Female,35,>50K
384,52,Private,HS-grad,9,Widowed,Black,Female,35,<=50K
385,29,Private,11th,7,Married-civ-spouse,White,Male,99,>50K
386,47,Private,11th,7,Married-civ-spouse,White,Male,35,<=50K
387,49,Private,HS-grad,9,Divorced,Black,Female,37,<=50K
388,40,Private,11th,7,Widowed,White,Female,40,<=50K
389,62,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,White,Female,40,<=50K
390,49,Private,HS-grad,9,Married-civ-spouse,White,Male,55,>50K
391,50,Private,Bachelors,13,Divorced,White,Female,50,>50K
392,31,Private,HS-grad,9,Never-married,Black,Male,40,<=50K
393,48,Local-gov,Masters,14,Never-married,White,Female,50,<=50K
394,24,Private,HS-grad,9,Never-married,White,Female,40,<=50K
395,41,?,HS-grad,9,Never-married,White,Female,40,<=50K
